udi,product_id,type,air_temperature,process_temperature,rpm,torque,tool_wear,machine_failure,twf,hdf,pwf,osf,rnf,power_consumption,temp_diff,type_encoded
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,6866.327735538924,10.199999999999989,2
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,5752.413228355591,10.300000000000011,0
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,5330.141287811075,10.300000000000011,0
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,6444.286178455672,10.300000000000011,0
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,6558.053720417668,10.300000000000011,0
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,6385.171876690622,10.300000000000011,0
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,5131.21564098577,10.199999999999989,1
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,7850.127946986078,10.300000000000011,0
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,7673.004953176687,10.300000000000011,0
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,6368.469075749038,10.199999999999989,1
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,4386.092695407341,10.199999999999989,0
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,4914.581883569728,10.100000000000023,1
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,6156.244020023535,10.100000000000023,0
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,6583.668172519939,10.100000000000023,0
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,5046.162255877582,10.0,1
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,6770.195000339076,10.099999999999966,2
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,5180.988940594142,10.099999999999966,0
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,9700.923955019922,10.100000000000023,0
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,4553.4662800150945,10.100000000000023,1
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,6918.415341735443,10.200000000000045,0
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,6365.243707291352,10.200000000000045,0
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,5834.984755267443,10.100000000000023,0
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,5415.299392674381,10.100000000000023,0
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,6743.878925877506,10.099999999999966,0
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,7328.487430808517,10.099999999999966,0
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,6292.767164773034,10.099999999999966,0
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,7539.508209350144,10.099999999999966,0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,5564.367964087218,10.099999999999966,0
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,7550.870302780628,10.0,2
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,7212.573133866566,10.0,0
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,6208.038410905718,10.0,0
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,6168.716142858287,10.0,0
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,7088.187008735435,10.0,0
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,5062.906944721215,10.0,1
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,6601.575250645399,10.0,2
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,5141.656200571199,10.0,0
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,6716.599429668835,10.0,1
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,6150.871896585897,10.0,1
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,4736.2022526989,10.0,0
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,4771.765081537536,10.0,0
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,4901.062563183781,10.0,1
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,6529.2767317107855,9.899999999999977,0
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,5418.388625450412,9.899999999999977,0
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,7385.06751449967,10.0,1
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,5822.156585265284,10.0,1
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,5479.4611866361965,10.0,1
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,5235.809732399286,9.900000000000034,0
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,7081.275504897538,10.0,0
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,4848.524662040247,10.099999999999966,0
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,4315.888571575122,10.0,0
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,6611.272299969481,10.0,0
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,6111.497268660905,10.0,1
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,6590.014189680189,9.899999999999977,0
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,5181.543955296278,9.899999999999977,0
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,7339.022238173556,9.899999999999977,0
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,7336.6241557813155,10.0,1
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,5550.848643701271,9.900000000000034,2
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,5613.523417140386,9.800000000000011,0
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,4410.79608564007,9.800000000000011,0
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,6828.408712210094,9.900000000000034,2
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,6196.3726301853885,9.899999999999977,1
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,6520.208000917423,9.800000000000011,1
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,5172.318144870235,9.800000000000011,0
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,6848.326409633854,9.800000000000011,0
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,5584.955867943743,9.800000000000011,0
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,5525.747318399087,9.800000000000011,0
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,5023.0610778981845,9.800000000000011,1
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,6252.491946954015,9.800000000000011,0
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,6707.834386165318,9.800000000000011,0
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,6721.919193228913,9.800000000000011,0
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,6955.171975782443,9.800000000000011,0
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,7026.31857741074,9.800000000000011,0
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,5317.019902494581,9.800000000000011,0
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,5260.28273917075,9.700000000000045,0
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,8419.939550518684,9.600000000000023,0
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,6880.559150259685,9.700000000000045,0
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,6414.9437030711415,9.600000000000023,0
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,5599.75276934215,9.600000000000023,0
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,6339.765390870739,9.599999999999966,0
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,5038.580545606918,9.599999999999966,0
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,6518.930419904966,9.699999999999989,1
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,7427.5627911272295,9.699999999999989,1
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,7598.151272217155,9.599999999999966,0
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,5106.501778777529,9.699999999999989,1
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,6795.683788735201,9.800000000000011,2
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,7510.930188177989,9.900000000000034,0
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,7495.902903318319,9.800000000000011,2
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,7409.383441638454,9.800000000000011,0
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,5712.158954487593,9.800000000000011,0
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,5691.393027047366,9.800000000000011,0
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,5250.606633797693,9.799999999999955,1
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,7440.705120394746,9.799999999999955,2
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,6176.203605349342,9.799999999999955,1
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,5323.617247067119,9.899999999999977,0
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,6093.977653629385,9.899999999999977,2
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,6361.882203152011,10.0,0
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,6931.61003088052,10.0,1
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,6154.662751721228,9.900000000000034,0
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,6358.52069901267,9.900000000000034,0
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,5760.508065426341,9.800000000000011,1
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,6800.919776491184,9.800000000000011,1
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,5230.751768227006,9.800000000000011,0
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,5792.426646786814,9.800000000000011,0
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,4119.9474377707265,9.800000000000011,2
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,7201.577559579003,9.700000000000045,1
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,6732.747215908285,9.800000000000011,2
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,6278.996516974799,9.800000000000011,1
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,7240.009709707918,9.800000000000011,0
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,8149.019072048613,9.800000000000011,0
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,7733.302588174586,9.800000000000011,0
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,5896.036372502204,9.800000000000011,0
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,6733.312702585931,9.800000000000011,1
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,6574.72510543272,9.800000000000011,1
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,4718.4627261816295,9.899999999999977,0
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,5503.148795244265,9.800000000000011,2
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,6550.032187175502,9.900000000000034,2
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9348.950386087232,9.900000000000034,0
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,8157.019661339754,9.900000000000034,0
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,5900.958200992828,9.800000000000011,1
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,7777.494324835084,9.900000000000034,0
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,4190.800824084688,9.899999999999977,1
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,5614.727694324262,9.800000000000011,1
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,7973.341210859871,9.900000000000034,0
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,6295.437518528587,9.900000000000034,0
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,5879.4487632912505,9.900000000000034,0
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,4455.1134860067095,10.0,0
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,7548.953931261937,10.0,0
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,6800.417121666609,10.100000000000023,0
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,7707.635776194757,10.100000000000023,0
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,4622.413766785878,10.100000000000023,2
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,6759.681136925062,10.099999999999966,1
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,6329.209639554678,10.099999999999966,0
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,5341.775652604868,10.0,0
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,5784.426057495672,10.0,0
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,7629.4624789979325,10.199999999999989,0
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,6224.008173561467,10.199999999999989,0
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,5650.845537865033,10.199999999999989,0
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,6994.504715805388,10.099999999999966,1
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,7718.086807755699,10.199999999999989,0
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,6036.423676215621,10.199999999999989,0
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,7583.42767464733,10.199999999999989,2
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,6079.903318541303,10.199999999999989,2
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,3000.702695051803,10.300000000000011,1
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,6527.569799702336,10.199999999999989,0
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,7422.955121901963,10.300000000000011,2
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,6540.199002169767,10.200000000000045,1
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,5820.3239895506895,10.300000000000011,0
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,7067.986567972852,10.200000000000045,0
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,5897.293009563639,10.200000000000045,0
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,6795.264909714723,10.199999999999989,0
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,6116.178241714753,10.100000000000023,1
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,5913.6292913623065,10.100000000000023,0
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,5980.000672157147,10.100000000000023,0
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,7459.397596683605,10.100000000000023,1
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,5947.841235359899,10.199999999999989,0
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,9032.571061919718,10.300000000000011,1
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,6114.555085510398,10.200000000000045,0
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,6805.527445716449,10.200000000000045,0
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,5757.523552405431,10.300000000000011,0
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,5591.249525226434,10.199999999999989,0
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,7445.323261595522,10.300000000000011,2
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,6516.856968753594,10.300000000000011,0
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,6173.428531838671,10.300000000000011,1
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,6532.879091286903,10.300000000000011,0
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,6012.13916500337,10.300000000000011,0
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,5506.416051603998,10.199999999999989,0
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,5773.2734035754265,10.300000000000011,0
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,6937.767552481556,10.199999999999989,1
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,7814.523230245396,10.199999999999989,0
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,4649.148720267927,10.100000000000023,2
223,L47402,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,6144.955230421635,10.200000000000045,0
224,L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,5652.102174926468,10.200000000000045,0
225,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,4860.169498809554,10.300000000000011,0
226,L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,7673.402888246141,10.199999999999989,0
227,L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,6847.28968405817,10.099999999999966,0
228,L47407,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,5818.009682962545,10.199999999999989,0
229,M15088,M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,6328.832648436246,10.199999999999989,1
230,L47409,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,5186.099264643983,10.199999999999989,0
231,L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,5721.468540717731,10.300000000000011,0
232,L47411,L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,6354.897395485529,10.099999999999966,0
233,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,7098.156329422827,10.199999999999989,0
234,L47413,L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,5525.935813958303,10.199999999999989,0
235,L47414,L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,6639.881737068171,10.199999999999989,0
236,M15095,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,5928.8136558546585,10.199999999999989,1
237,L47416,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,6058.718512080596,10.199999999999989,0
238,M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,5948.417194013058,10.100000000000023,1
239,L47418,L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,7337.493329748808,10.200000000000045,0
240,L47419,L,298.0,308.2,1611,30.6,195,0,0,0,0,0,0,5162.327880231821,10.199999999999989,0
241,M15100,M,298.0,308.1,1339,51.6,197,0,0,0,0,0,0,7235.339208629582,10.100000000000023,1
242,L47421,L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0,4521.914217797541,10.100000000000023,0
243,L47422,L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0,8300.33911819652,10.199999999999989,0
244,L47423,L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0,6659.359611520428,10.199999999999989,0
245,M15104,M,298.0,308.2,1395,49.1,206,0,0,0,0,0,0,7172.727267043536,10.199999999999989,1
246,M15105,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,5349.901905602154,10.200000000000045,1
247,L47426,L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,5560.3571974661345,10.200000000000045,0
248,L47427,L,298.0,308.2,1469,45.5,214,0,0,0,0,0,0,6999.416072320499,10.199999999999989,0
249,L47428,L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0,8101.28780766507,10.300000000000011,0
250,L47429,L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0,8268.776584003457,10.300000000000011,0
251,L47430,L,298.0,308.3,1662,32.7,0,0,0,0,0,0,0,5691.246419390198,10.300000000000011,0
252,M15111,M,298.0,308.2,1466,42.6,2,0,0,0,0,0,0,6539.916258830944,10.199999999999989,1
253,L47432,L,298.0,308.2,1620,35.8,5,0,0,0,0,0,0,6073.326917919787,10.199999999999989,0
254,L47433,L,298.0,308.2,1357,48.2,7,0,0,0,0,0,0,6849.446911013635,10.199999999999989,0
